UNIPROT	REACTION_STID	REACTION_DISPLAY_NAME	PATHWAY_STID	PATHWAY_DISPLAY_NAME
Q8TEP8	R-HSA-5626220	C2CD3 binds the mother centriole	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5626681	Recruitment of transition zone proteins	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626681	Recruitment of transition zone proteins	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5626681	Recruitment of transition zone proteins	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5617816	RAB3IP stimulates nucleotide exchange on RAB8A 	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5617816	RAB3IP stimulates nucleotide exchange on RAB8A 	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5617816	RAB3IP stimulates nucleotide exchange on RAB8A 	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5638009	CEP164 recruits RAB3IP-carrying Golgi-derived vesicles to the basal body	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5638009	CEP164 recruits RAB3IP-carrying Golgi-derived vesicles to the basal body	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5638009	CEP164 recruits RAB3IP-carrying Golgi-derived vesicles to the basal body	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q9NSE4	R-HSA-380176	isoleucine + tRNA(Ile) + ATP => Ile-tRNA(Ile) + AMP + pyrophosphate	R-HSA-392499	Metabolism of proteins
Q9NSE4	R-HSA-380176	isoleucine + tRNA(Ile) + ATP => Ile-tRNA(Ile) + AMP + pyrophosphate	R-HSA-72766	Translation
Q9NSE4	R-HSA-380176	isoleucine + tRNA(Ile) + ATP => Ile-tRNA(Ile) + AMP + pyrophosphate	R-HSA-379724	tRNA Aminoacylation
Q9NSE4	R-HSA-380176	isoleucine + tRNA(Ile) + ATP => Ile-tRNA(Ile) + AMP + pyrophosphate	R-HSA-379726	Mitochondrial tRNA aminoacylation
O00139	R-HSA-141409	Mad1 binds kinetochore	R-HSA-1640170	Cell Cycle
O00139	R-HSA-141409	Mad1 binds kinetochore	R-HSA-69620	Cell Cycle Checkpoints
O00139	R-HSA-141409	Mad1 binds kinetochore	R-HSA-69618	Mitotic Spindle Checkpoint
O00139	R-HSA-141409	Mad1 binds kinetochore	R-HSA-141424	Amplification of signal from the kinetochores
O00139	R-HSA-141409	Mad1 binds kinetochore	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
O00139	R-HSA-141431	MAD2 associates with the Mad1 kinetochore complex	R-HSA-1640170	Cell Cycle
O00139	R-HSA-141431	MAD2 associates with the Mad1 kinetochore complex	R-HSA-69620	Cell Cycle Checkpoints
O00139	R-HSA-141431	MAD2 associates with the Mad1 kinetochore complex	R-HSA-69618	Mitotic Spindle Checkpoint
O00139	R-HSA-141431	MAD2 associates with the Mad1 kinetochore complex	R-HSA-141424	Amplification of signal from the kinetochores
O00139	R-HSA-141431	MAD2 associates with the Mad1 kinetochore complex	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
O00139	R-HSA-141422	MAD2 converted  to an inhibitory state via interaction with Mad1	R-HSA-1640170	Cell Cycle
O00139	R-HSA-141422	MAD2 converted  to an inhibitory state via interaction with Mad1	R-HSA-69620	Cell Cycle Checkpoints
O00139	R-HSA-141422	MAD2 converted  to an inhibitory state via interaction with Mad1	R-HSA-69618	Mitotic Spindle Checkpoint
O00139	R-HSA-141422	MAD2 converted  to an inhibitory state via interaction with Mad1	R-HSA-141424	Amplification of signal from the kinetochores
O00139	R-HSA-141422	MAD2 converted  to an inhibitory state via interaction with Mad1	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
O00139	R-HSA-141439	Release of activated MAD2 from kinetochores	R-HSA-1640170	Cell Cycle
O00139	R-HSA-141439	Release of activated MAD2 from kinetochores	R-HSA-69620	Cell Cycle Checkpoints
O00139	R-HSA-141439	Release of activated MAD2 from kinetochores	R-HSA-69618	Mitotic Spindle Checkpoint
O00139	R-HSA-141439	Release of activated MAD2 from kinetochores	R-HSA-141424	Amplification of signal from the kinetochores
O00139	R-HSA-141439	Release of activated MAD2 from kinetochores	R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
O00139	R-HSA-5666129	CDC42:GTP recruits DIAPH2-2 to kinetochores	R-HSA-5663220	RHO GTPases Activate Formins
O00139	R-HSA-5666129	CDC42:GTP recruits DIAPH2-2 to kinetochores	R-HSA-162582	Signal Transduction
O00139	R-HSA-5666129	CDC42:GTP recruits DIAPH2-2 to kinetochores	R-HSA-194315	Signaling by Rho GTPases
O00139	R-HSA-5666129	CDC42:GTP recruits DIAPH2-2 to kinetochores	R-HSA-195258	RHO GTPase Effectors
O00139	R-HSA-5666160	AURKB phosphorylates DIAPH2-2 at kinetochores	R-HSA-5663220	RHO GTPases Activate Formins
O00139	R-HSA-5666160	AURKB phosphorylates DIAPH2-2 at kinetochores	R-HSA-162582	Signal Transduction
O00139	R-HSA-5666160	AURKB phosphorylates DIAPH2-2 at kinetochores	R-HSA-194315	Signaling by Rho GTPases
O00139	R-HSA-5666160	AURKB phosphorylates DIAPH2-2 at kinetochores	R-HSA-195258	RHO GTPase Effectors
O00139	R-HSA-5666169	Kinetochore capture of astral microtubules is positively regulated by CDC42:GTP:p-S196-DIAPH2-2	R-HSA-5663220	RHO GTPases Activate Formins
O00139	R-HSA-5666169	Kinetochore capture of astral microtubules is positively regulated by CDC42:GTP:p-S196-DIAPH2-2	R-HSA-162582	Signal Transduction
O00139	R-HSA-5666169	Kinetochore capture of astral microtubules is positively regulated by CDC42:GTP:p-S196-DIAPH2-2	R-HSA-194315	Signaling by Rho GTPases
O00139	R-HSA-5666169	Kinetochore capture of astral microtubules is positively regulated by CDC42:GTP:p-S196-DIAPH2-2	R-HSA-195258	RHO GTPase Effectors
O00139	R-HSA-375302	Kinetochore capture of astral microtubules	R-HSA-1640170	Cell Cycle
O00139	R-HSA-375302	Kinetochore capture of astral microtubules	R-HSA-68877	Mitotic Prometaphase
O00139	R-HSA-375302	Kinetochore capture of astral microtubules	R-HSA-68886	M Phase
O00139	R-HSA-375302	Kinetochore capture of astral microtubules	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	R-HSA-1640170	Cell Cycle
O00139	R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
O00139	R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	R-HSA-68877	Mitotic Prometaphase
O00139	R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	R-HSA-68886	M Phase
O00139	R-HSA-2468287	CDK1 phosphorylates CDCA5 (Sororin) at centromeres	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	R-HSA-1640170	Cell Cycle
O00139	R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
O00139	R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	R-HSA-68877	Mitotic Prometaphase
O00139	R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	R-HSA-68886	M Phase
O00139	R-HSA-1638803	Phosphorylation of cohesin by PLK1 at centromeres	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	R-HSA-1640170	Cell Cycle
O00139	R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
O00139	R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	R-HSA-68877	Mitotic Prometaphase
O00139	R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	R-HSA-68886	M Phase
O00139	R-HSA-1638821	PP2A-B56 dephosphorylates centromeric cohesin	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-1640170	Cell Cycle
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-2467813	Separation of Sister Chromatids
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-68882	Mitotic Anaphase
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-2555396	Mitotic Metaphase and Anaphase
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-68886	M Phase
O00139	R-HSA-2467809	ESPL1 (Separase) cleaves centromeric cohesin	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-1640170	Cell Cycle
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-2467813	Separation of Sister Chromatids
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-68882	Mitotic Anaphase
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-2555396	Mitotic Metaphase and Anaphase
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-68886	M Phase
O00139	R-HSA-2467811	Separation of sister chromatids	R-HSA-69278	Cell Cycle, Mitotic
O00139	R-HSA-983266	Kinesins bind microtubules	R-HSA-109582	Hemostasis
O00139	R-HSA-983266	Kinesins bind microtubules	R-HSA-983231	Factors involved in megakaryocyte development and platelet production
O00139	R-HSA-983266	Kinesins bind microtubules	R-HSA-983189	Kinesins
O00139	R-HSA-6811423	Retrograde vesicle is tethered at the ER by the NRZ complex and t-SNAREs	R-HSA-5653656	Vesicle-mediated transport
O00139	R-HSA-6811423	Retrograde vesicle is tethered at the ER by the NRZ complex and t-SNAREs	R-HSA-199991	Membrane Trafficking
O00139	R-HSA-6811423	Retrograde vesicle is tethered at the ER by the NRZ complex and t-SNAREs	R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic
O00139	R-HSA-6811423	Retrograde vesicle is tethered at the ER by the NRZ complex and t-SNAREs	R-HSA-8856688	Golgi-to-ER retrograde transport
O00139	R-HSA-6811423	Retrograde vesicle is tethered at the ER by the NRZ complex and t-SNAREs	R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic
O00139	R-HSA-6811426	Retrograde COPI vesicles bind kinesin and microtubules	R-HSA-5653656	Vesicle-mediated transport
O00139	R-HSA-6811426	Retrograde COPI vesicles bind kinesin and microtubules	R-HSA-199991	Membrane Trafficking
O00139	R-HSA-6811426	Retrograde COPI vesicles bind kinesin and microtubules	R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic
O00139	R-HSA-6811426	Retrograde COPI vesicles bind kinesin and microtubules	R-HSA-8856688	Golgi-to-ER retrograde transport
O00139	R-HSA-6811426	Retrograde COPI vesicles bind kinesin and microtubules	R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic
O00139	R-HSA-990489	Kinesin-13 is a dimer	R-HSA-109582	Hemostasis
O00139	R-HSA-990489	Kinesin-13 is a dimer	R-HSA-983231	Factors involved in megakaryocyte development and platelet production
O00139	R-HSA-990489	Kinesin-13 is a dimer	R-HSA-983189	Kinesins
O00264	R-HSA-6799350	Exocytosis of specific granule membrane proteins	R-HSA-6798695	Neutrophil degranulation
O00264	R-HSA-6799350	Exocytosis of specific granule membrane proteins	R-HSA-168249	Innate Immune System
O00264	R-HSA-6799350	Exocytosis of specific granule membrane proteins	R-HSA-168256	Immune System
O00501	R-HSA-420019	Claudins create paired strands through homophilic and heterophilic cis and trans interactions	R-HSA-420029	Tight junction interactions
O00501	R-HSA-420019	Claudins create paired strands through homophilic and heterophilic cis and trans interactions	R-HSA-421270	Cell-cell junction organization
O00501	R-HSA-420019	Claudins create paired strands through homophilic and heterophilic cis and trans interactions	R-HSA-446728	Cell junction organization
O00501	R-HSA-420019	Claudins create paired strands through homophilic and heterophilic cis and trans interactions	R-HSA-1500931	Cell-Cell communication
O14639	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-1266738	Developmental Biology
O14639	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-422475	Axon guidance
O14639	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-373752	Netrin-1 signaling
O14639	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-418885	DCC mediated attractive signaling
O15439	R-HSA-1454916	The ABCC family mediates organic anion transport	R-HSA-382556	ABC-family proteins mediated transport
O15439	R-HSA-1454916	The ABCC family mediates organic anion transport	R-HSA-382551	Transport of small molecules
O15439	R-HSA-429157	ABCC4 accumulation of dense granule contents	R-HSA-109582	Hemostasis
O15439	R-HSA-429157	ABCC4 accumulation of dense granule contents	R-HSA-76002	Platelet activation, signaling and aggregation
O15439	R-HSA-429157	ABCC4 accumulation of dense granule contents	R-HSA-76005	Response to elevated platelet cytosolic Ca2+
O15439	R-HSA-429157	ABCC4 accumulation of dense granule contents	R-HSA-114608	Platelet degranulation 
O43182	R-HSA-194922	GAPs inactivate Rho GTPase:GTP by hydrolysis	R-HSA-162582	Signal Transduction
O43182	R-HSA-194922	GAPs inactivate Rho GTPase:GTP by hydrolysis	R-HSA-194315	Signaling by Rho GTPases
O43182	R-HSA-194922	GAPs inactivate Rho GTPase:GTP by hydrolysis	R-HSA-194840	Rho GTPase cycle
O43432	R-HSA-1678842	Competitive inhibition of translation initiation by ISGylated 4EHP	R-HSA-168256	Immune System
O43432	R-HSA-1678842	Competitive inhibition of translation initiation by ISGylated 4EHP	R-HSA-1280215	Cytokine Signaling in Immune system
O43432	R-HSA-1678842	Competitive inhibition of translation initiation by ISGylated 4EHP	R-HSA-913531	Interferon Signaling
O43432	R-HSA-1678842	Competitive inhibition of translation initiation by ISGylated 4EHP	R-HSA-1169410	Antiviral mechanism by IFN-stimulated genes
O43432	R-HSA-1678842	Competitive inhibition of translation initiation by ISGylated 4EHP	R-HSA-1169408	ISG15 antiviral mechanism
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-168249	Innate Immune System
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-168256	Immune System
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-162582	Signal Transduction
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-194315	Signaling by Rho GTPases
O43516	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-195258	RHO GTPase Effectors
O43516	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
O43516	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
O43516	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
